Date, Storytel
2017-02-28,61.8823529412
2017-03-01,47.3550295858
2017-03-02,51.4523809524
2017-03-03,47.3592814371
2017-03-04,39.9397590361
2017-03-05,47.1212121212
2017-03-06,92.3902439024
2017-03-07,55.5950920245
2017-03-08,55.2160493827
2017-03-09,43.3664596273
2017-03-10,48.025
2017-03-11,34.1949685535
2017-03-12,56.7215189873
2017-03-13,57.5605095541
2017-03-14,54.3205128205
2017-03-15,52.0064516129
2017-03-16,42.1688311688
2017-03-17,45.5816993464
2017-03-18,26.6973684211
2017-03-19,41.4834437086
2017-03-20,54.48
